step,mean_loss,epoch,compute_time
262,0.76392126,9,2024-09-15 01:58:36.724392+00:00
263,0.94564295,9,2024-09-15 01:58:37.518365+00:00
264,2.5896206,9,2024-09-15 01:58:38.330739+00:00
265,4.055852,9,2024-09-15 01:58:39.133007+00:00
266,3.0243697,9,2024-09-15 01:58:39.789066+00:00
267,1.5094887,9,2024-09-15 01:58:40.696461+00:00
268,2.1658406,9,2024-09-15 01:58:41.573384+00:00
269,2.723685,9,2024-09-15 01:58:42.470913+00:00
270,1.4699593,9,2024-09-15 01:58:43.382548+00:00
271,2.996437,9,2024-09-15 01:58:44.248895+00:00
272,1.5059291,9,2024-09-15 01:58:45.140706+00:00
273,0.9746024,9,2024-09-15 01:58:45.816732+00:00
274,0.34263575,9,2024-09-15 01:58:46.724275+00:00
275,1.2590054,9,2024-09-15 01:58:47.550825+00:00
276,2.6370027,9,2024-09-15 01:58:48.411555+00:00
277,2.2562513,9,2024-09-15 01:58:49.327766+00:00
278,2.4356823,9,2024-09-15 01:58:50.083746+00:00
279,10.317492,9,2024-09-15 01:58:50.784388+00:00
280,0.8714663,9,2024-09-15 01:58:51.506421+00:00
281,6.0686574,9,2024-09-15 01:58:52.372188+00:00
282,1.9093813,9,2024-09-15 01:58:53.049770+00:00
283,0.58394504,9,2024-09-15 01:58:53.802243+00:00
284,3.1414778,9,2024-09-15 01:58:54.753273+00:00
285,2.2105613,10,2024-09-15 01:58:56.928332+00:00
